snp	locus_gene	locus_entrez_id	distance_to_snp
rs4632248	MIR519E	574463	141718
rs4632248	MIR515-1	574462	142656
rs4632248	MIR520E	574461	145944
rs4632248	MIR498	574460	147421
rs4632248	MIR1323	100302255	149701
rs4632248	MIR512-2	574459	152487
rs4632248	MIR512-1	574458	154979
rs4632248	MIR935	100126325	160566
rs4632248	CACNG6	59285	170547
rs4632248	DPRX	503834	184732
rs4632248	AC011487.2	284379	213290
rs4632248	VSTM1	284415	219084
rs4632248	ZNF331	55422	241472
rs4632248	TARM1	441864	248154
rs4632248	OSCAR	126014	272927
rs4632248	NDUFA3	4696	280987
rs4632248	TFPT	29844	285272
rs4632248	PRPF31	26121	293669
rs4632248	CNOT3	4849	315987
rs4632248	ZNF813	126017	325486
rs4632248	LENG1	79165	333420
rs4632248	TMC4	147798	338367
rs4632248	MBOAT7	79143	351671
rs4632248	ZNF761	388561	363480
rs4632248	ZNF761	110116772	363480
rs4632248	TSEN34	79042	368197
rs4632248	TPM3P9	147804	377071
rs4632248	RPS9	6203	379001
rs4632248	ZNF765	91661	391328
rs4632248	LILRB3	11025	394537
rs4632248	LILRB3	102725035	394537
rs4632248	LILRB3	107987425	394537
rs4632248	LILRB3	107987462	394537
rs4632248	LILRA6	79168	414851
rs4632248	LILRB5	10990	427690
rs4632248	ZNF525	170958	429524
rs4632248	LILRB2	10288	452080
rs4632248	MIR4752	100616171	460368
rs4632248	ZNF845	91664	466872
rs4632248	LILRA5	353514	485329
rs4632248	LILRA4	23547	511444
rs4632248	LAIR1	3903	529643
rs4632248	BIRC8	112401	530115
rs4632248	FAM90A27P	646508	536797
rs4632248	VN1R4	317703	554018
rs4632248	VN1R2	317701	559904
rs4632248	ZNF677	342926	566843
rs4632248	TTYH1	57348	593478
rs4632248	LENG8-AS1	104355426	623072
rs4632248	LENG8	114823	627146
rs4632248	ZNF665	79788	628355
rs4632248	LENG9	94059	640055
rs4632248	CDC42EP5	148170	643285
rs4632248	ZNF347	84671	662666
rs4632248	LAIR2	3904	676138
rs4632248	ZNF415	55786	688664
rs4632248	ZNF160	90338	718305
rs4632248	LILRA2	11027	751179
rs4632248	ERVV-2	100271846	770665
rs4632248	LILRA1	11024	771841
rs4632248	ZNF702P	79986	783843
rs4632248	LILRB1	10859	795417
rs4632248	ERVV-1	147664	805619
rs4632248	LILRB4	11006	822148
rs4632248	MIR8061	102466251	823568
rs4632248	ZNF816	125893	858830
rs4632248	ZNF816-ZNF321P	100529240	858918
rs4632248	ZNF321P	399669	879140
rs4632248	LILRP2	79166	886175
rs4632248	ZNF888	388559	898260
rs4632248	KIR3DL3	115653	902738
rs4632248	KIR2DL3	3804	916774
rs4632248	ZNF320	162967	924048
rs4632248	KIR2DL1	3802	948070
rs4632248	ZNF468	90333	964092
rs4632248	ZNF28	7576	964141
rs4632248	KIR2DL4	3805	981794
rs4632248	KIR3DL1	3811	994727
rs1138545	TNC	3371	44637
rs1138545	AL162425.1	101928748	45919
rs1138545	DEC1	50514	68198
rs1138545	TNFSF8	944	143025
rs1138545	TNFSF15	9966	267494
rs1138545	TEX48	100505478	391554
rs1138545	TEX53	105376230	411246
rs1138545	TMEM268	203197	427198
rs1138545	ATP6V1G1	9550	475247
rs1138545	WHRN	25861	568170
rs1138545	AL731897.1	101928775	666043
rs1138545	AKNA	80709	679215
rs1138545	ORM2	5005	740368
rs1138545	ORM1	5004	747145
rs1138545	COL27A1	85301	761109
rs1138545	MIR455	619556	864091
rs1138545	KIF12	113220	974329
rs1138545	AMBP	259	995148
rs7225465	WFIKKN2	124857	3550
rs7225465	TOB1	10140	23425
rs7225465	TOB1-AS1	400604	27881
rs7225465	MIR8059	102466918	70068
rs7225465	LUC7L3	51747	82585
rs7225465	SPAG9	9043	123376
rs7225465	ANKRD40	91369	130874
rs7225465	ABCC3	8714	146546
rs7225465	AC004590.1	101927253	206858
rs7225465	CACNA1G	8913	211324
rs7225465	CACNA1G-AS1	253962	276690
rs7225465	SPATA20	64847	282946
rs7225465	EPN3	55040	295048
rs7225465	AC021491.2	105371824	300044
rs7225465	MYCBPAP	84073	307297
rs7225465	NME1	4830	314738
rs7225465	NME1-NME2	654364	314792
rs7225465	NME2	4831	326637
rs7225465	MBTD1	54799	338627
rs7225465	RSAD1	55316	352823
rs7225465	ACSF2	80221	363953
rs7225465	CHAD	1101	369832
rs7225465	UTP18	51096	421730
rs7225465	LRRC59	55379	441245
rs7225465	EME1	146956	457315
rs7225465	MRPL27	51264	465584
rs7225465	LINC02071	101927274	473811
rs7225465	XYLT2	64132	475660
rs7225465	LINC02072	440446	497917
rs7225465	TMEM92-AS1	103752589	550943
rs7225465	TMEM92	162461	557313
rs7225465	LINC01969	101927230	623378
rs7225465	COL1A1	1277	637166
rs7225465	SGCA	6442	662867
rs7225465	PPP1R9B	84687	688168
rs7225465	SAMD14	201191	708916
rs7225465	PDK2	5164	726646
rs7225465	ITGA3	3675	748317
rs7225465	PICART1	284080	783059
rs7225465	CA10	56934	791515
rs7225465	DLX3	1747	843574
rs7225465	DLX4	1748	863839
rs7225465	TAC4	255061	990781
rs2228243	HRG	3273	916
rs2228243	FETUB	26998	24183
rs2228243	KNG1	3827	39952
rs2228243	AHSG	197	56006
rs2228243	DNAJB11	51726	91524
rs2228243	EIF4A2	1974	105881
rs2228243	TBCCD1	55171	106781
rs2228243	MIR1248	100302143	109348
rs2228243	SNORA81	677847	109351
rs2228243	SNORA4	619568	110288
rs2228243	RFC4	5984	112556
rs2228243	CRYGS	1427	130622
rs2228243	LINC02043	102724699	133556
rs2228243	ADIPOQ	9370	165366
rs2228243	ADIPOQ-AS1	100874095	174562
rs2228243	LINC02052	253573	183663
rs2228243	LINC02020	107986164	226628
rs2228243	ST6GAL1	6480	253161
rs2228243	DGKG	1608	315087
rs2228243	RPL39L	116832	443624
rs2228243	AC007920.1	101929106	519766
rs2228243	RTP1	132112	520162
rs2228243	MASP1	5648	539961
rs2228243	ETV5	2119	567006
rs2228243	AC007920.2	101929130	613948
rs2228243	RTP4	64108	691008
rs2228243	TRA2B	6434	739188
rs2228243	IGF2BP2	10644	852268
rs2228243	MIR548AQ	100847078	909420
rs2228243	IGF2BP2-AS1	646600	947537
rs2228243	SST	6750	991582
rs704	VTN	7448	564
rs704	SEBOX	645832	2596
rs704	SARM1	23098	3484
rs704	TMEM199	147007	4157
rs704	MIR4723	100616388	7106
rs704	POLDIP2	26073	10318
rs704	TNFAIP1	7126	20831
rs704	SLC46A1	113235	26916
rs704	IFT20	90410	32351
rs704	TMEM97	27346	39155
rs704	KRT18P55	284085	50057
rs704	SLC13A2	9058	105453
rs704	PPY2P	23614	119551
rs704	FOXN1	8456	138403
rs704	PYY2	23615	139775
rs704	NLK	51701	171459
rs704	UNC119	9094	178867
rs704	PIGS	94005	185543
rs704	ALDOC	230	205275
rs704	SPAG5	10615	209725
rs704	SGK494	124923	240124
rs704	KIAA0100	9703	246600
rs704	SDF2	6388	280516
rs704	SUPT6H	6830	294251
rs704	PROCA1	147011	335357
rs704	RAB34	83871	346441
rs704	RPL23A	6147	351553
rs704	SNORD42B	26808	352710
rs704	SNORD4A	26773	354742
rs704	SNORD42A	26809	355589
rs704	SNORD4B	26772	355842
rs704	TLCD1	116238	356508
rs704	NEK8	284086	358057
rs704	TRAF4	9618	376144
rs704	FAM222B	55731	388138
rs704	LYRM9	201229	473088
rs704	ERAL1	26284	487098
rs704	MIR451A	574411	493529
rs704	MIR451B	100616273	493531
rs704	MIR144	406936	493693
rs704	MIR4732	100616385	493815
rs704	FLOT2	2319	511495
rs704	DHRS13	147015	529941
rs704	PHF12	57649	537410
rs704	AC024267.4	101927018	558435
rs704	NOS2	4843	567341
rs704	PIPOX	51268	582673
rs704	SEZ6	124925	587061
rs704	MYO18A	399687	703284
rs704	TIAF1	9220	705681
rs704	LGALS9	3965	718280
rs704	KSR1	8844	741402
rs704	CRYBA1	1411	879023
rs704	NUFIP2	57532	887996
rs704	TBC1D3P5	440419	936217
rs2355433	PSG5	5673	8680
rs2355433	PSG4	5672	17766
rs2355433	CEACAMP10	284344	36855
rs2355433	PSG9	5678	36855
rs2355433	PSG2	5670	91891
rs2355433	PSG11	5680	148424
rs2355433	CD177	57126	178723
rs2355433	TEX101	83639	226560
rs2355433	PSG7	5676	237758
rs2355433	PSG6	5675	255373
rs2355433	LYPD3	27076	285851
rs2355433	PSG1	5669	295114
rs2355433	PHLDB3	653583	300018
rs2355433	PSG8	440533	319245
rs2355433	ETHE1	23474	331783
rs2355433	PSG8-AS1	100289650	348058
rs2355433	ZNF575	284346	350561
rs2355433	XRCC1	7515	368104
rs2355433	PINLYP	390940	401864
rs2355433	IRGQ	126298	409433
rs2355433	ZNF576	79177	421456
rs2355433	SRRM5	100170229	421681
rs2355433	ZNF428	126299	432283
rs2355433	PSG3	5671	434367
rs2355433	CADM4	199731	447432
rs2355433	PLAUR	5329	471159
rs2355433	LIPE-AS1	100996307	522581
rs2355433	LIPE-AS1	101930071	522581
rs2355433	IRGC	56269	541074
rs2355433	SMG9	56006	553056
rs2355433	CEACAM8	1088	579881
rs2355433	KCNN4	3783	591597
rs2355433	CEACAM1	634	613702
rs2355433	LYPD5	284348	620993
rs2355433	ZNF283	284349	652356
rs2355433	ZNF404	342908	697427
rs2355433	AC006213.2	100505715	716868
rs2355433	CXCL17	284340	731888
rs2355433	ZNF45	7596	737693
rs2355433	LIPE	3991	747510
rs2355433	ZNF221	7638	776287
rs2355433	CNFN	84518	784649
rs2355433	ZNF155	7711	792926
rs2355433	MEGF8	1954	796167
rs2355433	AC006213.1	101928063	821960
rs2355433	MIR8077	102465875	823731
rs2355433	ZNF230	7773	828012
rs2355433	TMEM145	284339	849874
rs2355433	ZNF222	7673	850406
rs2355433	PRR19	284338	864115
rs2355433	PAFAH1B3	5050	871390
rs2355433	ZNF223	7766	876431
rs2355433	CIC	23152	879139
rs2355433	ZNF284	342909	897208
rs2355433	ZNF224	7767	919403
rs2355433	ERF	2077	919779
rs2355433	AC021092.1	100379224	930527
rs2355433	GSK3A	2931	932311
rs2355433	ZNF225	7768	937245
rs2355433	ZNF526	116115	946735
rs2355433	DEDD2	162989	954796
rs2355433	ZNF234	10780	966621
rs2355433	POU2F2	5452	978351
rs2355433	ZNF226	7769	990137
rs941591	SERPINA10	51156	2858
rs941591	PPP4R4	57718	10678
rs941591	SERPINA6	866	13835
rs941591	SERPINA2	390502	73900
rs941591	SERPINA1	5265	86334
rs941591	SERPINA11	256394	152051
rs941591	IFI27L2	83982	160160
rs941591	SERPINA9	327657	172304
rs941591	IFI27	3429	173715
rs941591	IFI27L1	122509	186567
rs941591	SERPINA12	145264	196861
rs941591	DDX24	57062	209168
rs941591	OTUB2	78990	241483
rs941591	SERPINA4	5267	270678
rs941591	SERPINA5	5104	271029
rs941591	CCDC197	256369	281550
rs941591	ASB2	51676	313622
rs941591	SERPINA3	12	321964
rs941591	MIR4506	100616140	342111
rs941591	SERPINA13P	388007	350312
rs941591	FAM181A	90050	360805
rs941591	FAM181A-AS1	283592	363347
rs941591	GSC	145258	477803
rs941591	PRIMA1	145270	501932
rs941591	UNC79	57578	582537
rs941591	DICER1	23405	795815
rs941591	MIR3173	100422981	847506
rs941591	DICER1-AS1	400242	867232
rs941591	CLMN	79789	891527
rs941591	COX8C	341947	942057
rs941591	BTBD7	55727	957321
rs1138888	PSG4	5672	832
rs1138888	PSG5	5673	5334
rs1138888	CEACAMP10	284344	19921
rs1138888	PSG9	5678	19921
rs1138888	PSG2	5670	108825
rs1138888	CD177	57126	161789
rs1138888	PSG11	5680	165358
rs1138888	TEX101	83639	209626
rs1138888	PSG7	5676	254692
rs1138888	LYPD3	27076	268917
rs1138888	PSG6	5675	272307
rs1138888	PHLDB3	653583	283084
rs1138888	PSG1	5669	312048
rs1138888	ETHE1	23474	314849
rs1138888	ZNF575	284346	333627
rs1138888	PSG8	440533	336179
rs1138888	XRCC1	7515	351170
rs1138888	PSG8-AS1	100289650	364992
rs1138888	PINLYP	390940	384930
rs1138888	IRGQ	126298	392499
rs1138888	ZNF576	79177	404522
rs1138888	SRRM5	100170229	404747
rs1138888	ZNF428	126299	415349
rs1138888	CADM4	199731	430498
rs1138888	PSG3	5671	451301
rs1138888	PLAUR	5329	454225
rs1138888	IRGC	56269	524140
rs1138888	SMG9	56006	536122
rs1138888	LIPE-AS1	100996307	539515
rs1138888	LIPE-AS1	101930071	539515
rs1138888	KCNN4	3783	574663
rs1138888	CEACAM8	1088	596815
rs1138888	LYPD5	284348	604059
rs1138888	CEACAM1	634	630636
rs1138888	ZNF283	284349	635422
rs1138888	ZNF404	342908	680493
rs1138888	AC006213.2	100505715	699934
rs1138888	ZNF45	7596	720759
rs1138888	CXCL17	284340	748822
rs1138888	ZNF221	7638	759353
rs1138888	LIPE	3991	764444
rs1138888	ZNF155	7711	775992
rs1138888	CNFN	84518	801583
rs1138888	AC006213.1	101928063	805026
rs1138888	ZNF230	7773	811078
rs1138888	MEGF8	1954	813101
rs1138888	ZNF222	7673	833472
rs1138888	MIR8077	102465875	840665
rs1138888	ZNF223	7766	859497
rs1138888	TMEM145	284339	866808
rs1138888	ZNF284	342909	880274
rs1138888	PRR19	284338	881049
rs1138888	PAFAH1B3	5050	888324
rs1138888	CIC	23152	896073
rs1138888	ZNF224	7767	902469
rs1138888	AC021092.1	100379224	913593
rs1138888	ZNF225	7768	920311
rs1138888	ERF	2077	936713
rs1138888	GSK3A	2931	949245
rs1138888	ZNF234	10780	949687
rs1138888	ZNF526	116115	963669
rs1138888	DEDD2	162989	971730
rs1138888	ZNF226	7769	973203
rs1138888	POU2F2	5452	995285
rs629849	AL353625.1	729603	19705
rs629849	IGF2R	3482	40130
rs629849	SLC22A1	6580	48412
rs629849	AIRN	100271873	65713
rs629849	SLC22A2	6582	97684
rs629849	MAS1	4142	156847
rs629849	PNLDC1	154197	252673
rs629849	SLC22A3	6581	274891
rs629849	MRPL18	29074	274941
rs629849	TCP1	6950	283628
rs629849	SNORA29	677812	287644
rs629849	SNORA20	677806	292996
rs629849	ACAT2	39	294322
rs629849	SOD2	6648	310848
rs629849	SOD2	100129518	310848
rs629849	WTAP	9589	317058
rs629849	LPAL2	80350	380051
rs629849	LPA	4018	458106
rs629849	PLG	5340	628861
rs629849	LINC02529	102724053	676934
rs629849	FNDC1	84624	801268
rs629849	MAP3K4	4216	918350
rs3079633	TMEM50A	23585	24481
rs3079633	RHCE	6006	24593
rs3079633	TMEM57	55219	44016
rs3079633	RSRP1	57035	48629
rs3079633	RHD	6007	56397
rs3079633	SYF2	25949	154340
rs3079633	LDLRAP1	26119	156738
rs3079633	MAN1C1	57134	230626
rs3079633	MIR4425	100616365	363256
rs3079633	SELENON	57190	413334
rs3079633	RUNX3	864	421721
rs3079633	MTFR1L	56181	431798
rs3079633	AUNIP	79000	445071
rs3079633	MIR6731	102465437	467426
rs3079633	PAQR7	164091	474368
rs3079633	STMN1	3925	497339
rs3079633	MIR3917	100500808	519520
rs3079633	CLIC4	25932	542518
rs3079633	PAFAH2	5051	572925
rs3079633	EXTL1	2134	633042
rs3079633	SLC30A2	7780	650410
rs3079633	TRIM63	84676	664462
rs3079633	SRRM1	10250	713575
rs3079633	PDIK1L	149420	724323
rs3079633	FAM110D	79927	772178
rs3079633	NCMAP	400746	777514
rs3079633	ZNF593	51042	783029
rs3079633	CNKSR1	10256	790561
rs3079633	CATSPER4	378807	803719
rs3079633	AL355877.1	101928303	822899
rs3079633	RCAN3	11123	845802
rs3079633	CEP85	64793	847311
rs3079633	SH3BGRL3	83442	892334
rs3079633	UBXN11	91544	894486
rs3079633	NIPAL3	57185	913866
rs3079633	CD52	1043	931115
rs3079633	CRYBG2	55057	935017
rs3079633	STPG1	90529	969908
rs3079633	ZNF683	257101	974792
rs3820897	COLEC11	78989	61
rs3820897	RPS7	6201	13852
rs3820897	RNASEH1-AS1	100506054	33026
rs3820897	RNASEH1	246243	36155
rs3820897	ALLC	55821	63424
rs3820897	ADI1	55256	75035
rs3820897	DCDC2C	728597	108821
rs3820897	TRAPPC12	51112	109677
rs3820897	EIPR1	7260	216889
rs3820897	LINC01304	100505964	362884
rs3820897	LINC01250	101927554	468745
rs3820897	AC011995.1	101927534	723540
rs8051363	CTRB1	1504	2319
rs8051363	BCAR1	9564	6868
rs8051363	CTRB2	440387	14134
rs8051363	ZFP1	162239	49083
rs8051363	CFDP1	10428	72379
rs8051363	LDHD	197257	104548
rs8051363	ZNRF1	84937	110325
rs8051363	WDR59	79726	221146
rs8051363	TMEM170A	124491	221735
rs8051363	CHST6	4166	250733
rs8051363	CHST5	23563	307216
rs8051363	TMEM231	79583	315425
rs8051363	GABARAPL2	11345	345032
rs8051363	ADAT1	23536	375662
rs8051363	KARS	3735	406155
rs8051363	TERF2IP	54386	426467
rs8051363	FA2H	79152	446488
rs8051363	DUXB	100033411	472610
rs8051363	CPHXL	105371346	492905
rs8051363	MLKL	197259	520359
rs8051363	RFWD3	55159	554438
rs8051363	GLG1	2734	614175
rs8051363	CLEC18B	497190	799366
rs8051363	NPIPB15	440348	829239
rs8051363	PSMD7	5713	915031
rs8051363	AC138627.1	101928035	924557
rs6437234	MTERF4	130916	7704
rs6437234	SNED1	25992	15695
rs6437234	PASK	23178	26226
rs6437234	PPP1R7	5510	69703
rs6437234	CROCC2	728763	86562
rs6437234	ANO7	50636	108636
rs6437234	AC104809.2	200772	112422
rs6437234	HDLBP	3069	147391
rs6437234	C2orf54	79919	182984
rs6437234	AGXT	189	199371
rs6437234	SEPT2	4735	235227
rs6437234	KIF1A	547	259565
rs6437234	FARP2	9855	276370
rs6437234	AQP12A	375318	381390
rs6437234	AQP12B	653437	396967
rs6437234	MIR3133	100422942	398032
rs6437234	STK25	10494	412801
rs6437234	GPR35	2859	448614
rs6437234	CAPN10	11132	462168
rs6437234	BOK	666	471551
rs6437234	RNPEPL1	57140	498501
rs6437234	THAP4	51078	504532
rs6437234	ANKMY1	51281	510664
rs6437234	DUSP28	285193	515859
rs6437234	ATG4B	23192	557340
rs6437234	DTYMK	1841	595869
rs6437234	ING5	84289	607212
rs6437234	GPC1	2817	611795
rs6437234	PP14571	100130449	623159
rs6437234	MIR149	406941	623784
rs6437234	D2HGDH	728294	654706
rs6437234	GAL3ST2	64090	696952
rs6437234	NEU4	129807	728952
rs6437234	PDCD1	5133	770008
rs6437234	RTP5	285093	789727
rs6437234	LINC01237	101927289	801490
rs6437234	AC131097.2	285095	814112
rs6437234	LINC01238	102723927	890810
rs6437234	AC093642.2	285097	921336
rs6437234	OTOS	150677	935311
rs6437234	COPS9	150678	943066
rs77944668	NFAT5	10725	20457
rs77944668	NQO1	1728	22787
rs77944668	NOB1	28987	57658
rs77944668	WWP2	11060	78097
rs77944668	MIR1538	100302119	118341
rs77944668	CYB5B	80777	217943
rs77944668	MIR140	406932	248872
rs77944668	CLEC18A	348174	266496
rs77944668	TERF2	7014	275638
rs77944668	PDXDC2P-NPIPB14P	283970	292088
rs77944668	NPIPB14P	101059953	292179
rs77944668	TMED6	146456	332400
rs77944668	NIP7	51388	341098
rs77944668	COG8	84342	344542
rs77944668	MIR1972-2	100422922	346137
rs77944668	PDF	64146	353614
rs77944668	VPS4A	27183	357270
rs77944668	SNTB2	6645	375157
rs77944668	PDPR	55066	429417
rs77944668	UTP4	84916	453079
rs77944668	AC009060.1	400541	472131
rs77944668	CLEC18C	283971	489113
rs77944668	SMG1P7	100506060	535365
rs77944668	CHTF8	54921	551625
rs77944668	EXOSC6	118460	562569
rs77944668	HAS3	3038	565490
rs77944668	AARS	16	568086
rs77944668	TANGO6	79613	599029
rs77944668	DDX19B	11269	605454
rs77944668	AC012184.3	100506083	631431
rs77944668	DDX19A	55308	662620
rs77944668	ST3GAL2	6483	691769
rs77944668	FUK	197258	770212
rs77944668	COG4	25839	796359
rs77944668	SF3B3	23450	839579
rs77944668	CDH1	999	848661
rs77944668	SNORD111	692214	853796
rs77944668	IL34	146433	895686
rs77944668	CDH3	1001	961593
rs77944668	MTSS1L	92154	976995
rs13093385	APEH	327	956
rs13093385	BSN	8927	1501
rs13093385	MST1	4485	10901
rs13093385	RNF123	63891	16453
rs13093385	AMIGO3	386724	43788
rs13093385	GMPPB	29925	43798
rs13093385	IP6K1	9807	51248
rs13093385	CDHR4	389118	117686
rs13093385	BSN-AS2	100132677	118680
rs13093385	FAM212A	389119	130208
rs13093385	UBA7	7318	132161
rs13093385	MIR5193	100847079	133091
rs13093385	DAG1	1605	137428
rs13093385	TRAIP	10293	155553
rs13093385	CAMKV	79012	184942
rs13093385	MST1R	4486	213956
rs13093385	MON1A	84315	235816
rs13093385	NICN1	84276	243720
rs13093385	AMT	275	250293
rs13093385	TCTA	6988	256571
rs13093385	RHOA	387	260048
rs13093385	RBM6	10180	266961
rs13093385	GPX1	2876	314446
rs13093385	USP4	7375	332334
rs13093385	C3orf62	375341	395137
rs13093385	MIR4271	100422952	398860
rs13093385	CCDC36	339834	414942
rs13093385	RBM5	10181	415862
rs13093385	RBM5-AS1	100775107	426557
rs13093385	SEMA3F-AS1	100129060	442976
rs13093385	C3orf84	646498	481188
rs13093385	SEMA3F	6405	481999
rs13093385	KLHDC8B	200942	496560
rs13093385	MIR566	693151	500280
rs13093385	CCDC71	64925	506725
rs13093385	GNAT1	2779	518566
rs13093385	SLC38A3	10991	532200
rs13093385	LAMB2	3913	539928
rs13093385	USP19	10869	552108
rs13093385	GNAI2	2771	553246
rs13093385	MIR5787	102464817	554390
rs13093385	QARS	5859	567911
rs13093385	MIR6890	102465536	573132
rs13093385	QRICH1	54870	578683
rs13093385	SEMA3B-AS1	101928931	593595
rs13093385	SEMA3B	7869	594512
rs13093385	MIR6872	102465526	600190
rs13093385	LSMEM2	132228	605981
rs13093385	IFRD2	7866	614686
rs13093385	HYAL3	8372	619785
rs13093385	NAT6	24142	623356
rs13093385	HYAL1	3373	626843
rs13093385	IMPDH2	3615	643638
rs13093385	HYAL2	8692	644744
rs13093385	TUSC2	11334	646981
rs13093385	NDUFAF3	25915	649551
rs13093385	DALRD3	55152	650753
rs13093385	MIR191	406966	652337
rs13093385	MIR425	494337	652812
rs13093385	RASSF1	11186	656736
rs13093385	WDR6	11180	657093
rs13093385	RASSF1-AS1	102060282	664465
rs13093385	P4HTM	54681	665892
rs13093385	ZMYND10	51364	668064
rs13093385	NPRL2	10641	674284
rs13093385	CYB561D2	11068	677649
rs13093385	TMEM115	11070	681703
rs13093385	ARIH2	10425	686664
rs13093385	CACNA2D2	9254	689753
rs13093385	CYB561D2	11068	692288
rs13093385	ARIH2OS	646450	753661
rs13093385	SLC25A20	788	774053
rs13093385	PRKAR2A-AS1	100506637	821065
rs13093385	PRKAR2A	5576	825200
rs13093385	C3orf18	51161	884979
rs13093385	HEMK1	51409	896106
rs13093385	IP6K2	51447	932693
rs13093385	CISH	1154	933444
rs13093385	MAPKAPK3	7867	938474
rs13093385	NCKIPSD	51517	986682
rs8176746	ABO	28	5534
rs8176746	OBP2B	29989	46685
rs8176746	SURF6	6838	72839
rs8176746	MED22	6837	82388
rs8176746	GBGT1	26301	91990
rs8176746	RPL7A	6130	92279
rs8176746	SNORD24	26820	93461
rs8176746	SNORD36A	26815	94521
rs8176746	SNORD36C	26813	94912
rs8176746	SURF1	6834	95820
rs8176746	SURF2	6835	100617
rs8176746	SURF4	6836	105514
rs8176746	RALGDS	5900	106601
rs8176746	STKLD1	169436	120432
rs8176746	REXO4	57109	150124
rs8176746	ADAMTS13	11093	158423
rs8176746	CEL	1056	184074
rs8176746	GTF3C5	9328	197432
rs8176746	MIR6877	102465528	203876
rs8176746	CACFD1	11094	204030
rs8176746	SLC2A6	11182	215160
rs8176746	MYMK	389827	258651
rs8176746	GFI1B	8328	264248
rs8176746	ADAMTSL2	9719	276229
rs8176746	MIR548AW	100846992	310164
rs8176746	TSC1	7248	311302
rs8176746	FAM163B	642968	322480
rs8176746	SPACA9	11092	365734
rs8176746	AK8	158067	377158
rs8176746	DBH	1621	380425
rs8176746	DBH-AS1	138948	398651
rs8176746	SARDH	1757	407625
rs8176746	VAV2	7410	505959
rs8176746	GTF3C4	9329	560980
rs8176746	DDX31	64794	585534
rs8176746	BARHL1	56751	665669
rs8176746	CFAP77	389799	682618
rs8176746	BRD3OS	266655	769504
rs8176746	BRD3	8019	774370
rs8176746	AL445931.1	100130548	798355
rs8176746	TTF1	7270	849084
rs8176746	WDR5	11091	879430
rs8176746	SETX	23064	900950
rs8176746	RNU6ATAC	100151684	908504
rs62143198	NLRP12	91662	6709
rs62143198	MIR373	442918	28912
rs62143198	MIR372	442917	29729
rs62143198	MIR371B	100616185	29943
rs62143198	MIR371A	442916	29944
rs62143198	MYADM	91663	48538
rs62143198	MIR519A2	574500	55255
rs62143198	MIR516A2	574499	56463
rs62143198	MIR1283-2	100302205	59367
rs62143198	MIR516A1	574498	60855
rs62143198	PRKCG	5582	61505
rs62143198	MIR527	574497	63583
rs62143198	MIR519A1	574496	65204
rs62143198	MIR522	574495	66388
rs62143198	MIR521-1	574494	68963
rs62143198	MIR520H	574493	75086
rs62143198	MIR517C	574492	76278
rs62143198	MIR518A2	574491	78266
rs62143198	MIR516B1	574490	80751
rs62143198	MIR518D	574489	82722
rs62143198	MIR518A1	574488	86595
rs62143198	MIR518E	574487	87760
rs62143198	MIR526A2	574486	90699
rs62143198	CACNG7	59284	91650
rs62143198	MIR516B2	574485	92159
rs62143198	MIR520G	574484	95430
rs62143198	MIR517B	574483	96543
rs62143198	MIR520D	574482	97503
rs62143198	MIR521-2	574481	101005
rs62143198	MIR519D	574480	104251
rs62143198	MIR517A	574479	105331
rs62143198	MIR524	574478	106597
rs62143198	MIR518C	574477	108850
rs62143198	MIR520C	574476	110146
rs62143198	MIR526A1	574475	111349
rs62143198	MIR518B	574474	114866
rs62143198	MIR520B	574473	116398
rs62143198	MIR518F	574472	117584
rs62143198	MIR523	574471	119214
rs62143198	MIR525	574470	120068
rs62143198	MIR519B	574469	122392
rs62143198	MIR526B	574468	123210
rs62143198	MIR520A	574467	126720
rs62143198	MIR1283-1	100302265	129118
rs62143198	MIR519C	574466	131130
rs62143198	MIR515-2	574465	132594
rs62143198	MIR520F	574464	135440
rs62143198	MIR519E	574463	137662
rs62143198	MIR515-1	574462	138600
rs62143198	MIR520E	574461	141888
rs62143198	MIR498	574460	143365
rs62143198	CACNG8	59283	145355
rs62143198	MIR1323	100302255	145645
rs62143198	MIR512-2	574459	148431
rs62143198	MIR512-1	574458	150923
rs62143198	MIR935	100126325	164622
rs62143198	CACNG6	59285	174603
rs62143198	DPRX	503834	180676
rs62143198	AC011487.2	284379	209234
rs62143198	VSTM1	284415	223140
rs62143198	ZNF331	55422	237416
rs62143198	TARM1	441864	252210
rs62143198	OSCAR	126014	276983
rs62143198	NDUFA3	4696	285043
rs62143198	TFPT	29844	289328
rs62143198	PRPF31	26121	297725
rs62143198	CNOT3	4849	320043
rs62143198	ZNF813	126017	321430
rs62143198	LENG1	79165	337476
rs62143198	TMC4	147798	342423
rs62143198	MBOAT7	79143	355727
rs62143198	ZNF761	388561	359424
rs62143198	ZNF761	110116772	359424
rs62143198	TSEN34	79042	372253
rs62143198	TPM3P9	147804	373015
rs62143198	RPS9	6203	383057
rs62143198	ZNF765	91661	387272
rs62143198	LILRB3	11025	398593
rs62143198	LILRB3	102725035	398593
rs62143198	LILRB3	107987425	398593
rs62143198	LILRB3	107987462	398593
rs62143198	LILRA6	79168	418907
rs62143198	ZNF525	170958	425468
rs62143198	LILRB5	10990	431746
rs62143198	LILRB2	10288	456136
rs62143198	ZNF845	91664	462816
rs62143198	MIR4752	100616171	464424
rs62143198	LILRA5	353514	489385
rs62143198	LILRA4	23547	515500
