snp	pqtl_gene	neg_logp	gwas_collection	gwas_source
rs2276543	LAMC2	132.357	additional GWAS	Biorxiv-Butterworth-2017
rs35094235	AHSG	131.699	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	HMGB1	131.62	additional GWAS	Biorxiv-Butterworth-2017
rs8176743	TIE1	131.523	additional GWAS	Biorxiv-Butterworth-2017
rs1042445	HMGN1	130.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	CLINT1	130.31	additional GWAS	Biorxiv-Butterworth-2017
rs1801020	SOD2	127.292	additional GWAS	Biorxiv-Butterworth-2017
rs61751507	APOL1	126.432	additional GWAS	Biorxiv-Butterworth-2017
rs6017591	SPINT3	126.222	additional GWAS	Biorxiv-Butterworth-2017
rs34603401	H6PD	126	additional GWAS	Biorxiv-Butterworth-2017
rs72688441	AKR1A1	125.921	additional GWAS	Biorxiv-Butterworth-2017
rs704	FUT9	125.921	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	SH3BP2	125.699	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	ITPRIPL1	125.071	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	RMDN1	123.886	additional GWAS	Biorxiv-Butterworth-2017
rs10740617	ASAH2	123.699	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	RPS4X	123.678	additional GWAS	Biorxiv-Butterworth-2017
rs2127870	HTATIP2	122.602	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	DNAJB14	122.31	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	MAPK13	121	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	NCF2	120.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	ARHGDIB	120.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	DDX39B	120.824	additional GWAS	Biorxiv-Butterworth-2017
rs11555096	FAH	120.721	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	ARHGAP25	120.481	additional GWAS	Biorxiv-Butterworth-2017
rs35662416	PDGFRA	120.42	additional GWAS	Biorxiv-Butterworth-2017
rs7412	VIMP	119.745	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	CIRBP	119.387	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	ADRBK1	119.337	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	SMC3	119.252	additional GWAS	Biorxiv-Butterworth-2017
rs557663478	B3GNT8	118.959	additional GWAS	Biorxiv-Butterworth-2017
rs11229075	SERPING1	118.959	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	CRYZL1	118.921	additional GWAS	Biorxiv-Butterworth-2017
rs2569491	KLK14	118.444	additional GWAS	Biorxiv-Butterworth-2017
rs778809	FUT5	117.886	additional GWAS	Biorxiv-Butterworth-2017
rs289828	TNFAIP6	117.26	additional GWAS	Biorxiv-Butterworth-2017
rs36138811	MANSC4	116.131	additional GWAS	Biorxiv-Butterworth-2017
rs45531831	TNXB	115.602	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	AIF1	115.469	additional GWAS	Biorxiv-Butterworth-2017
rs28573806	PLXNB2	115.456	additional GWAS	Biorxiv-Butterworth-2017
rs73554000	CD177	115.357	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	MTHFS	115.268	additional GWAS	Biorxiv-Butterworth-2017
rs11849582	ICOS	114.032	additional GWAS	Biorxiv-Butterworth-2017
rs532540191	MAPKAPK3	113.854	additional GWAS	Biorxiv-Butterworth-2017
rs646776	C1QTNF1	113.745	additional GWAS	Biorxiv-Butterworth-2017
rs41316748	USP25	113.699	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	HNRNPAB	113.357	additional GWAS	Biorxiv-Butterworth-2017
rs74959615	CCL25	113.284	additional GWAS	Biorxiv-Butterworth-2017
rs11849582	RNF165	113.222	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	EIF1AD	112.721	additional GWAS	Biorxiv-Butterworth-2017
rs227370	MANBA	112.108	additional GWAS	Biorxiv-Butterworth-2017
rs7528684	FCRL3	111.854	additional GWAS	Biorxiv-Butterworth-2017
rs11230521	TMEM132A	111.699	additional GWAS	Biorxiv-Butterworth-2017
rs759819	LILRA5	110.602	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	B3GNT1	110.357	additional GWAS	Biorxiv-Butterworth-2017
rs28381684	MMP12	110.292	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	MAP3K3	110.032	additional GWAS	Biorxiv-Butterworth-2017
rs601338	FAM3D	110.032	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	IFI16	110	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	IRF2	109.721	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	SIGLEC11	109.678	additional GWAS	Biorxiv-Butterworth-2017
rs2278668	PDIA5	109.398	additional GWAS	Biorxiv-Butterworth-2017
rs10139745	SERPINA4	109.31	additional GWAS	Biorxiv-Butterworth-2017
rs10425544	PRTN3	109.081	additional GWAS	Biorxiv-Butterworth-2017
rs12710327	TMED10	108.959	additional GWAS	Biorxiv-Butterworth-2017
rs28577986	SUSD2	108.409	additional GWAS	Biorxiv-Butterworth-2017
rs28929474	MRPL33	108.367	additional GWAS	Biorxiv-Butterworth-2017
rs9567617	CALB1	108.31	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	TMPO	107.721	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	STK17B	107.585	additional GWAS	Biorxiv-Butterworth-2017
rs11558819	ICOSLG	107.456	additional GWAS	Biorxiv-Butterworth-2017
rs1071803	AMBN	107.444	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	PPIA	107.292	additional GWAS	Biorxiv-Butterworth-2017
rs2071533	CNTN2	107.161	additional GWAS	Biorxiv-Butterworth-2017
rs6586145	FAM174A	106.921	additional GWAS	Biorxiv-Butterworth-2017
rs11103602	FCN1	105.824	additional GWAS	Biorxiv-Butterworth-2017
rs12881760	SEMG2	105.721	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	EWSR1	105.456	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	SPG21	104.824	additional GWAS	Biorxiv-Butterworth-2017
rs7681694	SPARCL1	104.569	additional GWAS	Biorxiv-Butterworth-2017
rs6136	SELP	104.523	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	DAPK2	104.495	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	SSU72	104.481	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	MAPK3	104.432	additional GWAS	Biorxiv-Butterworth-2017
rs2232613	COX8A	103.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	SNRPA	103.699	additional GWAS	Biorxiv-Butterworth-2017
rs9903158	CCL14	103.456	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	RBM23	103.409	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	TIRAP	103.319	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	STAT6	103.009	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	PDCD5	103	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	ANXA1	102.721	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	ABHD14A	102.538	additional GWAS	Biorxiv-Butterworth-2017
rs71503194	ADAMTS13	102.357	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	GMFG	102.071	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	GPI	102.06	additional GWAS	Biorxiv-Butterworth-2017
rs34983651	ANGPTL1	101.721	additional GWAS	Biorxiv-Butterworth-2017
rs704	SLC35G2	100.745	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	EIF3G	100.602	additional GWAS	Biorxiv-Butterworth-2017
rs3134900	MICB	100.602	additional GWAS	Biorxiv-Butterworth-2017
rs12881760	DLK1	100.456	additional GWAS	Biorxiv-Butterworth-2017
rs9996608	NAAA	100.409	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	LCK	99.854	additional GWAS	Biorxiv-Butterworth-2017
rs115651556	PLXNC1	99.678	additional GWAS	Biorxiv-Butterworth-2017
rs6667532	NFASC	99.387	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	HNRNPM	99.26	additional GWAS	Biorxiv-Butterworth-2017
rs12459634	IGFLR1	99.237	additional GWAS	Biorxiv-Butterworth-2017
rs559054	SERPINA10	99.229	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	CBL	99.022	additional GWAS	Biorxiv-Butterworth-2017
rs45543339	GDF15	98.854	additional GWAS	Biorxiv-Butterworth-2017
rs73043857	THBS2	98.161	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	SWAP70	97.699	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	SHC1	97.553	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	SRSF7	97.456	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	HBQ1	96.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143196	STMN3	96.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	PCBP1	96.42	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	MAPK8	96.092	additional GWAS	Biorxiv-Butterworth-2017
rs9287090	SIGLEC11	96.032	additional GWAS	Biorxiv-Butterworth-2017
rs429358	PSD	95.721	additional GWAS	Biorxiv-Butterworth-2017
rs3197999	TMPRSS11D	95.481	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	AKR1A1	95.022	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	RHOA	94.886	additional GWAS	Biorxiv-Butterworth-2017
rs34436714	S100A9	94.854	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	NXF1	94.509	additional GWAS	Biorxiv-Butterworth-2017
rs28719835	QDPR	94	additional GWAS	Biorxiv-Butterworth-2017
rs712042	CCL3	93.886	additional GWAS	Biorxiv-Butterworth-2017
rs712048	CCL23	93.796	additional GWAS	Biorxiv-Butterworth-2017
rs1071803	CTBS	93.523	additional GWAS	Biorxiv-Butterworth-2017
rs144706539	TAPBP	93.347	additional GWAS	Biorxiv-Butterworth-2017
rs41271951	CTSS	93.149	additional GWAS	Biorxiv-Butterworth-2017
rs662	STX10	92.886	additional GWAS	Biorxiv-Butterworth-2017
rs3917539	TEX29	92.585	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	ARFGAP2	91.678	additional GWAS	Biorxiv-Butterworth-2017
rs58240276	FCRL6	91.509	additional GWAS	Biorxiv-Butterworth-2017
rs62143196	IGDCC3	91.495	additional GWAS	Biorxiv-Butterworth-2017
rs41313926	ANK2	90.921	additional GWAS	Biorxiv-Butterworth-2017
rs8177641	IL15RA	90.77	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	RPS3A	90.444	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	HMGB2	89.921	additional GWAS	Biorxiv-Butterworth-2017
rs618184	SEMG1	89.824	additional GWAS	Biorxiv-Butterworth-2017
rs5167	USP21	89.824	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	HK2	89.553	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	EIF1AX	89.523	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	GGT2	89.523	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	YBX2	89.509	additional GWAS	Biorxiv-Butterworth-2017
rs147640352	MLN	89.377	additional GWAS	Biorxiv-Butterworth-2017
rs62032164	HAVCR2	89.208	additional GWAS	Biorxiv-Butterworth-2017
rs61652119	NELL1	88.886	additional GWAS	Biorxiv-Butterworth-2017
rs17580	SLC14A2	88.854	additional GWAS	Biorxiv-Butterworth-2017
rs72830000	CCL23	88.854	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	ARL3	88.658	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	UBE2D4	88.495	additional GWAS	Biorxiv-Butterworth-2017
rs4761234	LYZ	88.42	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	NTMT1	88.367	additional GWAS	Biorxiv-Butterworth-2017
rs4979503	EVA1C	88.26	additional GWAS	Biorxiv-Butterworth-2017
rs8192888	ESD	88.009	additional GWAS	Biorxiv-Butterworth-2017
rs704	SIGLEC12	87.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	C11orf68	87.854	additional GWAS	Biorxiv-Butterworth-2017
rs704	ADGRF1	87.638	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	EZR	87.62	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	KIAA0040	87.509	additional GWAS	Biorxiv-Butterworth-2017
rs139121778	TREM1	87.456	additional GWAS	Biorxiv-Butterworth-2017
rs2670014	PENK	86.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	CAMK2B	86.284	additional GWAS	Biorxiv-Butterworth-2017
rs4987358	SELL	86.167	additional GWAS	Biorxiv-Butterworth-2017
rs57731447	ENTPD5	86.108	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	CACYBP	86.009	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	TIGAR	85.553	additional GWAS	Biorxiv-Butterworth-2017
rs562022020	CDON	85.367	additional GWAS	Biorxiv-Butterworth-2017
rs61998254	TREML2	85.301	additional GWAS	Biorxiv-Butterworth-2017
rs704	PDK1	84.721	additional GWAS	Biorxiv-Butterworth-2017
rs941758	PF4V1	84.18	additional GWAS	Biorxiv-Butterworth-2017
rs36020076	SMR3A	83.959	additional GWAS	Biorxiv-Butterworth-2017
rs35472615	WISP1	83.77	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	MRVI1	83.187	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	S100A11	82.301	additional GWAS	Biorxiv-Butterworth-2017
rs4421280	EPHA1	82.06	additional GWAS	Biorxiv-Butterworth-2017
rs11434877	ADAMTS6	81.721	additional GWAS	Biorxiv-Butterworth-2017
rs4638719	GPHA2	81.495	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	NPFF	81.495	additional GWAS	Biorxiv-Butterworth-2017
rs763665	APOL1	81.131	additional GWAS	Biorxiv-Butterworth-2017
rs704	IL31	81.06	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	MAP2K1	80.824	additional GWAS	Biorxiv-Butterworth-2017
rs7412	GNAI3	80.444	additional GWAS	Biorxiv-Butterworth-2017
rs3216676	NXPH1	80.222	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	GSTP1	80.131	additional GWAS	Biorxiv-Butterworth-2017
rs9411377	F8	79.553	additional GWAS	Biorxiv-Butterworth-2017
rs635634	KDR	79.398	additional GWAS	Biorxiv-Butterworth-2017
rs704	MUC1	79.319	additional GWAS	Biorxiv-Butterworth-2017
rs9271547	HLA,DQA2	79.252	additional GWAS	Biorxiv-Butterworth-2017
rs2516568	ASPN	78.638	additional GWAS	Biorxiv-Butterworth-2017
rs257309	PAM	78.42	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	BAGE2	77.854	additional GWAS	Biorxiv-Butterworth-2017
rs67047091	B3GNT2	77.796	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	PRKCB	77.721	additional GWAS	Biorxiv-Butterworth-2017
rs73226194	FAM3B	77.409	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	LY6G6C	77.377	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	NDRG4	77.357	additional GWAS	Biorxiv-Butterworth-2017
rs11580387	CD55	77.328	additional GWAS	Biorxiv-Butterworth-2017
rs13159365	TGFBI	77.301	additional GWAS	Biorxiv-Butterworth-2017
rs201022770	B4GALT6	76.77	additional GWAS	Biorxiv-Butterworth-2017
rs2732317	FUT10	76.602	additional GWAS	Biorxiv-Butterworth-2017
rs2232346	IL17RB	76.456	additional GWAS	Biorxiv-Butterworth-2017
rs6770670	STOM	76.081	additional GWAS	Biorxiv-Butterworth-2017
rs17580	SNAP25	75.921	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	S100A6	75.824	additional GWAS	Biorxiv-Butterworth-2017
rs1042445	KIAA1324L	75.585	additional GWAS	Biorxiv-Butterworth-2017
rs199825459	CTSZ	75.585	additional GWAS	Biorxiv-Butterworth-2017
rs34440547	LDOC1	75.208	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	RPS6KA6	75.092	additional GWAS	Biorxiv-Butterworth-2017
rs875500	PATE4	75	additional GWAS	Biorxiv-Butterworth-2017
rs33944729	GADD45GIP1	75	additional GWAS	Biorxiv-Butterworth-2017
rs5754109	RRM1	74.886	additional GWAS	Biorxiv-Butterworth-2017
rs34436714	GCA	74.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	RPL30	74.824	additional GWAS	Biorxiv-Butterworth-2017
rs17580	STX2	74.721	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	BRICD5	74.602	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	BCAR3	74.119	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	COLEC10	73.523	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	CSK	73.509	additional GWAS	Biorxiv-Butterworth-2017
rs6776722	IL17RD	73.469	additional GWAS	Biorxiv-Butterworth-2017
rs45446698	RAD51L3	73.328	additional GWAS	Biorxiv-Butterworth-2017
rs1097234	GPX7	72.796	additional GWAS	Biorxiv-Butterworth-2017
rs62143196	VPS24	72.796	additional GWAS	Biorxiv-Butterworth-2017
rs1071803	IGFL4	71.77	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	STX7	71.699	additional GWAS	Biorxiv-Butterworth-2017
rs2830586	ADAMTS5	71.658	additional GWAS	Biorxiv-Butterworth-2017
rs57136797	FCN2	71.432	additional GWAS	Biorxiv-Butterworth-2017
rs1130742	PSD2	71.268	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	PPIH	71.237	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	ARPP19	71.222	additional GWAS	Biorxiv-Butterworth-2017
rs11342894	CCL7	71.18	additional GWAS	Biorxiv-Butterworth-2017
rs704	NPFF	71.119	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	ALDH3B1	71	additional GWAS	Biorxiv-Butterworth-2017
rs1965049	HPGDS	70.886	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	LEMD1	70.699	additional GWAS	Biorxiv-Butterworth-2017
rs10023470	PSAPL1	70.585	additional GWAS	Biorxiv-Butterworth-2017
rs2229331	SUN5	70.553	additional GWAS	Biorxiv-Butterworth-2017
rs9380534	CLPS	70.456	additional GWAS	Biorxiv-Butterworth-2017
rs2424961	BPIFB1	70.409	additional GWAS	Biorxiv-Butterworth-2017
rs78865058	C1QC	70.367	additional GWAS	Biorxiv-Butterworth-2017
rs704	RELB	70.268	additional GWAS	Biorxiv-Butterworth-2017
rs6921438	VEGFA	70.108	additional GWAS	Biorxiv-Butterworth-2017
rs145766673	FKBP7	70.102	additional GWAS	Biorxiv-Butterworth-2017
rs62143194	LPCAT2	70.051	additional GWAS	Biorxiv-Butterworth-2017
rs34231037	KDR	70	additional GWAS	Biorxiv-Butterworth-2017
rs115668827	NTNG1	69.959	additional GWAS	Biorxiv-Butterworth-2017
rs62088172	SERPINF1	69.745	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	VCY	69.699	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	TPI1	69.638	additional GWAS	Biorxiv-Butterworth-2017
rs4986790	TLR4,LY96	69.553	additional GWAS	Biorxiv-Butterworth-2017
rs6119	MED1	69.208	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	TPT1	69.022	additional GWAS	Biorxiv-Butterworth-2017
rs74911261	KDELC2	68.959	additional GWAS	Biorxiv-Butterworth-2017
rs16933084	DVL2	68.921	additional GWAS	Biorxiv-Butterworth-2017
rs35662416	CFHR5	68.523	additional GWAS	Biorxiv-Butterworth-2017
rs9295987	CREB3L4	68.509	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	IL16	68.31	additional GWAS	Biorxiv-Butterworth-2017
rs6903575	CD109	68.187	additional GWAS	Biorxiv-Butterworth-2017
rs2290758	GSTA1	68.143	additional GWAS	Biorxiv-Butterworth-2017
rs217181	FTH1,FTL	68.131	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	NAGK	68.071	additional GWAS	Biorxiv-Butterworth-2017
rs1378892	SCG3	68	additional GWAS	Biorxiv-Butterworth-2017
rs10957266	GGH	67.921	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	AHSA1	67.796	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	CPNE1	67.553	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	TKT	67.367	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	MAPK14	67.337	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	ADSS	67.31	additional GWAS	Biorxiv-Butterworth-2017
rs16853043	ANGPTL1	67.268	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	CDKN1B	67.143	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	UBL4A	67	additional GWAS	Biorxiv-Butterworth-2017
rs1780617	BPI	66.959	additional GWAS	Biorxiv-Butterworth-2017
rs10919543	FCGR3B	66.495	additional GWAS	Biorxiv-Butterworth-2017
rs704	CLK2	66.149	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	UFC1	66.119	additional GWAS	Biorxiv-Butterworth-2017
rs1018454	DPT	66.108	additional GWAS	Biorxiv-Butterworth-2017
rs2739419	KLK7	65.959	additional GWAS	Biorxiv-Butterworth-2017
rs704	KIR2DL2	65.886	additional GWAS	Biorxiv-Butterworth-2017
rs2516568	CD34	65.658	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	C6orf226	65.638	additional GWAS	Biorxiv-Butterworth-2017
rs28929474	ZNF175	65.602	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	DNAJB2	65.357	additional GWAS	Biorxiv-Butterworth-2017
rs34516933	PCOLCE2	65.268	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	DIMT1	65.237	additional GWAS	Biorxiv-Butterworth-2017
rs11390840	FYN	65.187	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	GGA3	65.119	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	ELAVL1	64.77	additional GWAS	Biorxiv-Butterworth-2017
rs112433249	IMPAD1	64.387	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	CBX7	64.284	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	UBE2N	64.092	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	MAPK1	64.041	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	LDHB	63.824	additional GWAS	Biorxiv-Butterworth-2017
rs1151582	NID2	63.585	additional GWAS	Biorxiv-Butterworth-2017
rs1921673	ADAM23	63.495	additional GWAS	Biorxiv-Butterworth-2017
rs704	MGA	63.495	additional GWAS	Biorxiv-Butterworth-2017
rs61751937	SVEP1	63.284	additional GWAS	Biorxiv-Butterworth-2017
rs670	POMC	63.092	additional GWAS	Biorxiv-Butterworth-2017
rs704	MT1F	63.06	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	IDO1	62.699	additional GWAS	Biorxiv-Butterworth-2017
rs5167	MED4	62.585	additional GWAS	Biorxiv-Butterworth-2017
rs7538379	AMY1A	62.31	additional GWAS	Biorxiv-Butterworth-2017
rs7080536	CLEC5A	62.222	additional GWAS	Biorxiv-Butterworth-2017
rs12794886	B3GAT3	62.081	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	PDXK	61.721	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	SEPHS1	61.602	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	NXT1	61.387	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	CFC1	61.377	additional GWAS	Biorxiv-Butterworth-2017
rs7561460	IL1R2	61.208	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	ARF6	61.092	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	COMMD7	61.092	additional GWAS	Biorxiv-Butterworth-2017
rs704	GPR135	61.041	additional GWAS	Biorxiv-Butterworth-2017
rs1126477	MYCT1	60.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	STAT1	60.585	additional GWAS	Biorxiv-Butterworth-2017
rs704	JAK2	60.456	additional GWAS	Biorxiv-Butterworth-2017
rs78745329	AIFM1	60.292	additional GWAS	Biorxiv-Butterworth-2017
rs191448232	C1RL	60.229	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	ERH	60.161	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	SIRPB2	60.149	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	STAU2	60.092	additional GWAS	Biorxiv-Butterworth-2017
rs10274393	CNTNAP2	59.959	additional GWAS	Biorxiv-Butterworth-2017
rs12371	QSOX1	59.886	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	AKT2	59.367	additional GWAS	Biorxiv-Butterworth-2017
rs11849582	SGCB	59.347	additional GWAS	Biorxiv-Butterworth-2017
rs704	SPACA3	59.337	additional GWAS	Biorxiv-Butterworth-2017
rs72732234	CFHR5	59.108	additional GWAS	Biorxiv-Butterworth-2017
rs704	OCRL	58.959	additional GWAS	Biorxiv-Butterworth-2017
rs112689088	KLRC3	58.921	additional GWAS	Biorxiv-Butterworth-2017
rs34436714	CNTN5	58.745	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	CTRL	58.678	additional GWAS	Biorxiv-Butterworth-2017
rs6889164	HAVCR1	58.602	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	BRD1	58.538	additional GWAS	Biorxiv-Butterworth-2017
rs13085791	ADH1B	58.495	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	FHIT	58.42	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	PTPN7	58.377	additional GWAS	Biorxiv-Butterworth-2017
rs4778639	IL16	58.347	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,SFN	58.301	additional GWAS	Biorxiv-Butterworth-2017
rs116475987	EDAR	58.161	additional GWAS	Biorxiv-Butterworth-2017
rs17020993	S100A5	58	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	PARK7	57.854	additional GWAS	Biorxiv-Butterworth-2017
rs7412	CD200R1L	57.745	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	APOE	57.721	additional GWAS	Biorxiv-Butterworth-2017
rs34436714	EIF4A3	57.699	additional GWAS	Biorxiv-Butterworth-2017
rs3816193	KYNU	57.62	additional GWAS	Biorxiv-Butterworth-2017
rs1926447	RAET1E	57.328	additional GWAS	Biorxiv-Butterworth-2017
rs74705037	KLK8	57.201	additional GWAS	Biorxiv-Butterworth-2017
rs76143353	POFUT1	57.032	additional GWAS	Biorxiv-Butterworth-2017
rs67159741	CPXM1	57	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	BUB1	56.921	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	RBM39	56.921	additional GWAS	Biorxiv-Butterworth-2017
rs11924792	CCL21	56.854	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	NAMPT	56.796	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	PRH1	56.602	additional GWAS	Biorxiv-Butterworth-2017
rs11908097	FLRT3	56.602	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	GGA1	56.222	additional GWAS	Biorxiv-Butterworth-2017
rs35457250	H6PD	55.959	additional GWAS	Biorxiv-Butterworth-2017
rs704	KLHL13	55.824	additional GWAS	Biorxiv-Butterworth-2017
rs57736976	GNMT	55.77	additional GWAS	Biorxiv-Butterworth-2017
rs1254194	ERO1LB	55.721	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	UBB	55.699	additional GWAS	Biorxiv-Butterworth-2017
rs117554512	OAF	55.678	additional GWAS	Biorxiv-Butterworth-2017
