snp	pqtl_gene	pqtl_entrez_id	neg_log10_p	gwas_source
rs9287090	SIGLEC11	114132	96.032	10.1101/134551
rs429358	PSD	5662	95.721	10.1101/134551
rs3197999	TMPRSS11D	9407	95.481	10.1101/134551
rs62143198	AKR1A1	10327	95.022	10.1101/134551
rs62143198	RHOA	387	94.886	10.1101/134551
rs34436714	S100A9	6280	94.854	10.1101/134551
rs10418046	NXF1	10482	94.509	10.1101/134551
rs28719835	QDPR	5860	94	10.1101/134551
rs712042	CCL3	6348	93.886	10.1101/134551
rs712048	CCL23	6368	93.796	10.1101/134551
rs1071803	CTBS	1486	93.523	10.1101/134551
rs144706539	TAPBP	6892	93.347	10.1101/134551
rs41271951	CTSS	1520	93.149	10.1101/134551
rs662	STX10	8677	92.886	10.1101/134551
rs3917539	TEX29	121793	92.585	10.1101/134551
rs62143198	ARFGAP2	84364	91.678	10.1101/134551
rs58240276	FCRL6	343413	91.509	10.1101/134551
rs62143196	IGDCC3	9543	91.495	10.1101/134551
rs41313926	ANK2	287	90.921	10.1101/134551
rs8177641	IL15RA	3601	90.77	10.1101/134551
rs62143197	RPS3A	6189	90.444	10.1101/134551
rs62143198	HMGB2	3148	89.921	10.1101/134551
rs618184	SEMG1	6406	89.824	10.1101/134551
rs5167	USP21	27005	89.824	10.1101/134551
rs62143206	HK2	3099	89.553	10.1101/134551
rs62143197	EIF1AX	1964,107984923	89.523	10.1101/134551
rs1065853	GGT2	728441,102724197	89.523	10.1101/134551
rs4632248	YBX2	51087	89.509	10.1101/134551
rs147640352	MLN	4295	89.377	10.1101/134551
rs62032164	HAVCR2	84868	89.208	10.1101/134551
rs61652119	NELL1	4745	88.886	10.1101/134551
rs17580	SLC14A2	8170	88.854	10.1101/134551
rs72830000	CCL23	6368	88.854	10.1101/134551
rs62143198	ARL3	403	88.658	10.1101/134551
rs62143198	UBE2D4	51619	88.495	10.1101/134551
rs4761234	LYZ	4069	88.42	10.1101/134551
rs4632248	NTMT1	28989	88.367	10.1101/134551
rs4979503	EVA1C	59271	88.26	10.1101/134551
rs8192888	ESD	2098	88.009	10.1101/134551
rs704	SIGLEC12	89858	87.886	10.1101/134551
rs62143198	C11orf68	83638	87.854	10.1101/134551
rs704	ADGRF1	266977	87.638	10.1101/134551
rs4632248	EZR	7430	87.62	10.1101/134551
rs62143197	KIAA0040	9674	87.509	10.1101/134551
rs139121778	TREM1	54210	87.456	10.1101/134551
rs2670014	PENK	5179	86.886	10.1101/134551
rs62143206	CAMK2B	816	86.284	10.1101/134551
rs4987358	SELL	6402	86.167	10.1101/134551
rs57731447	ENTPD5	957	86.108	10.1101/134551
rs62143198	CACYBP	27101	86.009	10.1101/134551
rs62143198	TIGAR	57103	85.553	10.1101/134551
rs562022020	CDON	50937	85.367	10.1101/134551
rs61998254	TREML2	79865	85.301	10.1101/134551
rs704	PDK1	5163	84.721	10.1101/134551
rs941758	PF4V1	5197	84.18	10.1101/134551
rs36020076	SMR3A	26952	83.959	10.1101/134551
rs35472615	WISP1	8840	83.77	10.1101/134551
rs62143198	MRVI1	10335	83.187	10.1101/134551
rs4632248	S100A11	6282	82.301	10.1101/134551
rs4421280	EPHA1	2041	82.06	10.1101/134551
rs11434877	ADAMTS6	11174	81.721	10.1101/134551
rs4638719	GPHA2	170589	81.495	10.1101/134551
rs62143198	NPFF	8620	81.495	10.1101/134551
rs763665	APOL1	8542	81.131	10.1101/134551
rs704	IL31	386653	81.06	10.1101/134551
rs62143197	MAP2K1	5604	80.824	10.1101/134551
rs7412	GNAI3	2773	80.444	10.1101/134551
rs3216676	NXPH1	30010	80.222	10.1101/134551
rs62143206	GSTP1	2950	80.131	10.1101/134551
rs9411377	F8	2157	79.553	10.1101/134551
rs635634	KDR	3791	79.398	10.1101/134551
rs704	MUC1	4582	79.319	10.1101/134551
rs9271547	HLA,DQA2		79.252	10.1101/134551
rs2516568	ASPN	54829	78.638	10.1101/134551
rs257309	PAM	5066	78.42	10.1101/134551
rs10424405	BAGE2	NA	77.854	10.1101/134551
rs67047091	B3GNT2	10678	77.796	10.1101/134551
rs62143197	PRKCB	5579	77.721	10.1101/134551
rs73226194	FAM3B	54097	77.409	10.1101/134551
rs62143198	LY6G6C	80740	77.377	10.1101/134551
rs62143206	NDRG4	65009	77.357	10.1101/134551
rs11580387	CD55	1604	77.328	10.1101/134551
rs13159365	TGFBI	7045	77.301	10.1101/134551
rs201022770	B4GALT6	9331	76.77	10.1101/134551
rs2732317	FUT10	84750	76.602	10.1101/134551
rs2232346	IL17RB	55540	76.456	10.1101/134551
rs6770670	STOM	2040	76.081	10.1101/134551
rs17580	SNAP25	6616	75.921	10.1101/134551
rs62143206	S100A6	6277	75.824	10.1101/134551
rs1042445	KIAA1324L	222223	75.585	10.1101/134551
rs199825459	CTSZ	1522	75.585	10.1101/134551
rs34440547	LDOC1	23641	75.208	10.1101/134551
rs62143197	RPS6KA6	27330	75.092	10.1101/134551
rs875500	PATE4	399968	75	10.1101/134551
rs33944729	GADD45GIP1	90480	75	10.1101/134551
rs5754109	RRM1	6240	74.886	10.1101/134551
rs34436714	GCA	25801	74.886	10.1101/134551
rs62143206	RPL30	6156	74.824	10.1101/134551
rs17580	STX2	2054	74.721	10.1101/134551
rs62143198	BRICD5	283870	74.602	10.1101/134551
rs62143198	BCAR3	8412	74.119	10.1101/134551
rs1065853	COLEC10	10584	73.523	10.1101/134551
rs62143198	CSK	1445	73.509	10.1101/134551
rs6776722	IL17RD	54756	73.469	10.1101/134551
rs45446698	RAD51L3		73.328	10.1101/134551
rs1097234	GPX7	2882	72.796	10.1101/134551
rs62143196	VPS24		72.796	10.1101/134551
rs1071803	IGFL4	444882	71.77	10.1101/134551
rs4632248	STX7	8417	71.699	10.1101/134551
rs2830586	ADAMTS5	11096	71.658	10.1101/134551
rs57136797	FCN2	2220	71.432	10.1101/134551
rs1130742	PSD2	84249	71.268	10.1101/134551
rs62143197	PPIH	10465	71.237	10.1101/134551
rs62143198	ARPP19	10776	71.222	10.1101/134551
rs11342894	CCL7	6354	71.18	10.1101/134551
rs704	NPFF	8620	71.119	10.1101/134551
rs62143198	ALDH3B1	221	71	10.1101/134551
rs1965049	HPGDS	27306	70.886	10.1101/134551
rs4632248	LEMD1	93273	70.699	10.1101/134551
rs10023470	PSAPL1	768239	70.585	10.1101/134551
rs2229331	SUN5	140732	70.553	10.1101/134551
rs9380534	CLPS	1208	70.456	10.1101/134551
rs2424961	BPIFB1	92747	70.409	10.1101/134551
rs78865058	C1QC	714	70.367	10.1101/134551
rs704	RELB	5971	70.268	10.1101/134551
rs6921438	VEGFA	7422	70.108	10.1101/134551
rs145766673	FKBP7	51661	70.102	10.1101/134551
rs62143194	LPCAT2	54947	70.051	10.1101/134551
rs34231037	KDR	3791	70	10.1101/134551
rs115668827	NTNG1	22854	69.959	10.1101/134551
rs62088172	SERPINF1	5176	69.745	10.1101/134551
rs58452280	VCY	9084	69.699	10.1101/134551
rs62143198	TPI1	7167	69.638	10.1101/134551
rs4986790	TLR4,LY96	23643,7099	69.553	10.1101/134551
rs6119	MED1	5469	69.208	10.1101/134551
rs62143198	TPT1	7178	69.022	10.1101/134551
rs74911261	KDELC2	143888	68.959	10.1101/134551
rs16933084	DVL2	1856	68.921	10.1101/134551
rs35662416	CFHR5	81494	68.523	10.1101/134551
rs9295987	CREB3L4	148327	68.509	10.1101/134551
rs62143206	IL16	3603	68.31	10.1101/134551
rs6903575	CD109	135228	68.187	10.1101/134551
rs2290758	GSTA1	2938	68.143	10.1101/134551
rs217181	FTH1,FTL	2495,2512	68.131	10.1101/134551
rs4632248	NAGK	55577	68.071	10.1101/134551
rs1378892	SCG3	29106	68	10.1101/134551
rs10957266	GGH	8836	67.921	10.1101/134551
rs10418046	AHSA1	10598	67.796	10.1101/134551
rs62143206	CPNE1	8904	67.553	10.1101/134551
rs62143198	TKT	7086	67.367	10.1101/134551
rs62143198	MAPK14	1432	67.337	10.1101/134551
rs10418046	ADSS	159	67.31	10.1101/134551
rs16853043	ANGPTL1	9068	67.268	10.1101/134551
rs10424405	CDKN1B	1027	67.143	10.1101/134551
rs62143197	UBL4A	8266	67	10.1101/134551
rs1780617	BPI	671	66.959	10.1101/134551
rs10919543	FCGR3B	2215	66.495	10.1101/134551
rs704	CLK2	1196	66.149	10.1101/134551
rs10418046	UFC1	51506	66.119	10.1101/134551
rs1018454	DPT	1805	66.108	10.1101/134551
rs2739419	KLK7	5650	65.959	10.1101/134551
rs704	KIR2DL2	3803	65.886	10.1101/134551
rs2516568	CD34	947	65.658	10.1101/134551
rs58452280	C6orf226	441150	65.638	10.1101/134551
rs28929474	ZNF175	7728	65.602	10.1101/134551
rs62143197	DNAJB2	3300	65.357	10.1101/134551
rs34516933	PCOLCE2	26577	65.268	10.1101/134551
rs10424405	DIMT1	27292	65.237	10.1101/134551
rs11390840	FYN	2534	65.187	10.1101/134551
rs62143198	GGA3	23163	65.119	10.1101/134551
rs62143198	ELAVL1	1994	64.77	10.1101/134551
rs112433249	IMPAD1	54928	64.387	10.1101/134551
rs10424405	CBX7	23492	64.284	10.1101/134551
rs62143197	UBE2N	7334	64.092	10.1101/134551
rs62143198	MAPK1	5594	64.041	10.1101/134551
rs10418046	LDHB	3945	63.824	10.1101/134551
rs1151582	NID2	22795	63.585	10.1101/134551
rs1921673	ADAM23	8745	63.495	10.1101/134551
rs704	MGA	23269	63.495	10.1101/134551
rs61751937	SVEP1	79987	63.284	10.1101/134551
rs670	POMC	5443	63.092	10.1101/134551
rs704	MT1F	4494	63.06	10.1101/134551
rs4632248	IDO1	3620	62.699	10.1101/134551
rs5167	MED4	29079	62.585	10.1101/134551
rs7538379	AMY1A	276	62.31	10.1101/134551
rs7080536	CLEC5A	23601	62.222	10.1101/134551
rs12794886	B3GAT3	26229	62.081	10.1101/134551
rs10418046	PDXK	8566,105372824	61.721	10.1101/134551
rs62143198	SEPHS1	22929	61.602	10.1101/134551
rs10424405	NXT1	29107	61.387	10.1101/134551
rs62143197	CFC1	55997	61.377	10.1101/134551
rs7561460	IL1R2	7850	61.208	10.1101/134551
rs4632248	ARF6	382	61.092	10.1101/134551
rs10418046	COMMD7	149951	61.092	10.1101/134551
rs704	GPR135	64582	61.041	10.1101/134551
rs1126477	MYCT1	80177	60.959	10.1101/134551
rs62143197	STAT1	6772	60.585	10.1101/134551
rs704	JAK2	3717	60.456	10.1101/134551
rs78745329	AIFM1	9131	60.292	10.1101/134551
rs191448232	C1RL	51279	60.229	10.1101/134551
rs62143206	ERH	2079	60.161	10.1101/134551
rs10418046	SIRPB2	284759	60.149	10.1101/134551
rs62143198	STAU2	27067	60.092	10.1101/134551
rs10274393	CNTNAP2	26047	59.959	10.1101/134551
rs12371	QSOX1	5768	59.886	10.1101/134551
rs1065853	AKT2	208	59.367	10.1101/134551
rs11849582	SGCB	6443	59.347	10.1101/134551
rs704	SPACA3	124912	59.337	10.1101/134551
rs72732234	CFHR5	81494	59.108	10.1101/134551
rs704	OCRL	4952	58.959	10.1101/134551
rs112689088	KLRC3	3823	58.921	10.1101/134551
rs34436714	CNTN5	53942	58.745	10.1101/134551
rs62143206	CTRL	1506	58.678	10.1101/134551
rs6889164	HAVCR1	26762	58.602	10.1101/134551
rs4632248	BRD1	23774	58.538	10.1101/134551
rs13085791	ADH1B	125	58.495	10.1101/134551
rs62143198	FHIT	2272	58.42	10.1101/134551
rs62143197	PTPN7	5778	58.377	10.1101/134551
rs4778639	IL16	3603	58.347	10.1101/134551
rs62143197	YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,SFN	2810,7532,7531,7529,10971,7534,7533	58.301	10.1101/134551
rs116475987	EDAR	10913	58.161	10.1101/134551
rs17020993	S100A5	6276	58	10.1101/134551
rs10418046	PARK7	11315	57.854	10.1101/134551
rs7412	CD200R1L	344807	57.745	10.1101/134551
rs1065853	APOE	348	57.721	10.1101/134551
rs34436714	EIF4A3	9775	57.699	10.1101/134551
rs3816193	KYNU	8942	57.62	10.1101/134551
rs1926447	RAET1E	135250	57.328	10.1101/134551
rs74705037	KLK8	11202	57.201	10.1101/134551
rs76143353	POFUT1	23509	57.032	10.1101/134551
rs67159741	CPXM1	56265	57	10.1101/134551
rs10418046	BUB1	699	56.921	10.1101/134551
rs62143198	RBM39	9584	56.921	10.1101/134551
rs11924792	CCL21	6366	56.854	10.1101/134551
rs4632248	NAMPT	10135	56.796	10.1101/134551
rs58452280	PRH1	5554	56.602	10.1101/134551
rs11908097	FLRT3	23767	56.602	10.1101/134551
rs62143198	GGA1	26088	56.222	10.1101/134551
rs35457250	H6PD	9563	55.959	10.1101/134551
rs704	KLHL13	90293	55.824	10.1101/134551
rs57736976	GNMT	27232	55.77	10.1101/134551
rs1254194	ERO1LB		55.721	10.1101/134551
rs4632248	UBB	7314	55.699	10.1101/134551
rs117554512	OAF	220323	55.678	10.1101/134551
rs140142103	REPIN1	29803	55.602	10.1101/134551
rs704	SLAMF7	57823	55.456	10.1101/134551
rs4632248	LCP1	3936	55.208	10.1101/134551
rs62143198	EIF4E2	9470	55.167	10.1101/134551
rs3132451	PDE4D	5144	55.149	10.1101/134551
rs704	RNF13	11342	55	10.1101/134551
rs10832169	SPON1	10418	54.886	10.1101/134551
rs3132451	GRIA4	2893	54.77	10.1101/134551
rs12194408	PPIL1	51645	54.721	10.1101/134551
rs892145	GUCA1A	2978	54.721	10.1101/134551
rs288326	FRZB	2487	54.432	10.1101/134551
rs2738176	DEFB1	1672	54.252	10.1101/134551
rs372065719	VWC2	375567	54.143	10.1101/134551
rs704	HSPA1L	3305	53.959	10.1101/134551
rs62143197	EIF5A	1984	53.824	10.1101/134551
rs704	TOR1AIP1	26092	53.387	10.1101/134551
rs1692819	CTSB	1508	53.284	10.1101/134551
rs62143197	IST1	9798	53.237	10.1101/134551
rs57514363	LRRC15	131578	53.229	10.1101/134551
rs12588573	RNASE4	6038	53.051	10.1101/134551
rs62143206	ACYP2	98	52.959	10.1101/134551
rs454615	TIMP4	7079	52.77	10.1101/134551
rs34436714	RPSA	3921,388524	52.745	10.1101/134551
rs10418046	NAT14	57106	52.721	10.1101/134551
rs62143197	DGCR14		52.678	10.1101/134551
rs10424405	TXNRD1	7296	52.658	10.1101/134551
rs2093847	UCMA	221044	52.509	10.1101/134551
rs12086750	PPIE	10450	52.319	10.1101/134551
rs4151667	CFB	629	52.26	10.1101/134551
rs72809988	NTN1	9423	51.796	10.1101/134551
rs1061170	PGRMC2	10424	51.77	10.1101/134551
rs61751507	PCDHA7	56141	51.745	10.1101/134551
rs2228243	TMEM87B	84910	51.721	10.1101/134551
rs2524139	KIR2DS2	100132285	51.699	10.1101/134551
rs406658	C4A,C4B	721,720,110384692	51.509	10.1101/134551
rs35524242	SIRT2	22933	51.167	10.1101/134551
rs4632248	RPS27A	6233	51.161	10.1101/134551
rs17580	CDHR1	92211	51.009	10.1101/134551
rs7964859	SMPDL3A	10924	50.921	10.1101/134551
rs1071803	EVI2B	2124	50.796	10.1101/134551
rs2274700	CFH	3075	50.796	10.1101/134551
rs58452280	CD84	8832	50.745	10.1101/134551
rs6441996	LTF	4057	50.699	10.1101/134551
rs35039172	SFTPC	6440	50.42	10.1101/134551
rs150359707	CD300A	11314	50.201	10.1101/134551
rs704	ACPL2		50.108	10.1101/134551
rs16923189	PDCD1LG2	80380	50.102	10.1101/134551
rs58452280	ATP1A1	476	49.854	10.1101/134551
rs10858248	QSOX2	169714	49.824	10.1101/134551
rs139643250	CGA,LHB	1081,3972	49.553	10.1101/134551
rs10424405	ALOX15B	247	49.319	10.1101/134551
rs4632248	CAMK2A	815	49.31	10.1101/134551
rs528298	MAN1B1	11253	49.201	10.1101/134551
rs62143198	MIF	4282	49.119	10.1101/134551
rs704	SEMA3A	10371	49.108	10.1101/134551
rs2685416	FAM163A	148753	48.959	10.1101/134551
rs1801689	NUDT9	53343	48.854	10.1101/134551
rs35327014	NPW	283869	48.796	10.1101/134551
rs398062996	SLITRK3	22865	48.745	10.1101/134551
rs11548618	CXCL10	3627	48.678	10.1101/134551
rs12941509	TNFSF12	8742	48.658	10.1101/134551
rs704	SEC11C	90701	48.658	10.1101/134551
rs72709516	IFI16	3428	48.585	10.1101/134551
rs62143198	AKT1,AKT2,AKT3	10000,208,207	48.456	10.1101/134551
rs10418046	SMAD4	4089	48.301	10.1101/134551
rs540781594	CLEC11A	6320	48.222	10.1101/134551
rs704	PUF60	22827	48.208	10.1101/134551
rs28929474	ACP2	53	48.208	10.1101/134551
rs16993864	CBR1	873	48.18	10.1101/134551
rs8176786	FAM189A2	9413	48.131	10.1101/134551
rs62143197	GTF2I	2969	48.092	10.1101/134551
rs62143197	PCYOX1L	78991	48.081	10.1101/134551
rs62143198	PYGL	5836	47.959	10.1101/134551
rs4241818	TMEM87B	84910	47.886	10.1101/134551
rs4970836	PLA2G12B	84647	47.42	10.1101/134551
rs3197999	TNS2	23371	47.357	10.1101/134551
chr12:89825226	CD300C	10871	47.081	10.1101/134551
rs4795433	MICALL2	79778	47	10.1101/134551
rs9439082	SPINT1	6692	46.921	10.1101/134551
rs7539005	TSNARE1	203062	46.721	10.1101/134551
rs704	SH2D1A	4068	46.523	10.1101/134551
rs704	C2orf66	401027	46.201	10.1101/134551
rs68066031	SERPINE2	5270	45.959	10.1101/134551
rs115478735	ISLR2	57611	45.959	10.1101/134551
rs62143197	GRB2	2885	45.921	10.1101/134551
rs41278571	VEGFC	7424	45.886	10.1101/134551
rs7533094	PPT1	5538	45.638	10.1101/134551
rs62143197	TBCE	6905	45.509	10.1101/134551
rs684782	SEPT10	151011	45.377	10.1101/134551
rs62143206	ELK1	2002	45.367	10.1101/134551
rs28577986	COL9A2	1298	45.26	10.1101/134551
rs10418046	NUDC	10726	44.854	10.1101/134551
rs704	NR1H2	7376	44.538	10.1101/134551
rs7952686	RELT	84957	44.509	10.1101/134551
rs2304456	STX7	8417	44.444	10.1101/134551
rs11347749	CREG1	8804	44.409	10.1101/134551
rs77400868	IL5RA	3568	44.167	10.1101/134551
rs62143197	SMAP1	60682	44.081	10.1101/134551
rs2301790	MAN2B2	23324	44	10.1101/134551
rs62143197	AKT2	208	43.745	10.1101/134551
rs704	IL36A	27179	43.658	10.1101/134551
rs2712417	RPN1	6184	43.509	10.1101/134551
rs704	EDN2	1907	43.301	10.1101/134551
rs144147445	COL18A1	80781	43.26	10.1101/134551
rs62143197	SMAD2	4087	43.102	10.1101/134551
rs4632248	TRA2B	6434	43	10.1101/134551
rs145827860	CD209	30835	43	10.1101/134551
rs4656599	XCL1	6375	42.699	10.1101/134551
rs4395853	PRELP	5549	42.538	10.1101/134551
rs62143198	STAT3	6774	42.495	10.1101/134551
rs7911226	FAS	355	42.456	10.1101/134551
rs5167	CFL1	1072	42.398	10.1101/134551
rs10424405	RPS27A	6233	42.268	10.1101/134551
rs2347784	COLGALT1	79709	42.131	10.1101/134551
rs941758	EMC1	23065	42.051	10.1101/134551
rs62143197	ING1	3621	41.959	10.1101/134551
rs6687487	EPHB2	2048	41.886	10.1101/134551
rs62143194	STAU1	6780	41.886	10.1101/134551
rs35157100	SFTPC	6440	41.77	10.1101/134551
rs62143198	S100A4	6275	41.77	10.1101/134551
rs704	DNAJB9	4189	41.721	10.1101/134551
rs62143206	VPS4B	9525	41.699	10.1101/134551
rs10745925	CTSZ	1522	41.638	10.1101/134551
rs62143197	ELK3	2004	41.62	10.1101/134551
rs10418046	RRM2B	50484	41.602	10.1101/134551
rs2015086	CCL3L1	414062	41.509	10.1101/134551
rs34436714	CSMD2	114784	41.432	10.1101/134551
rs10424405	PTPN9	5780	41.377	10.1101/134551
rs1071803	SLURP1	57152	41.149	10.1101/134551
rs2160588	MANSC1	54682	41.06	10.1101/134551
rs62143197	ACBD6	84320,100527964	40.959	10.1101/134551
rs62143206	CFL1	1072	40.62	10.1101/134551
rs72840032	HAAO	23498	40.569	10.1101/134551
rs11592462	LILRB4	11006	40.538	10.1101/134551
rs148212596	GLRX2	51022	40.456	10.1101/134551
rs2273121	CD59	966	40.328	10.1101/134551
rs5167	FURIN	5045	40.081	10.1101/134551
rs10418046	UFM1	51569	40	10.1101/134551
rs678	NAT1	9	39.959	10.1101/134551
rs4632248	UNC93B1	81622	39.921	10.1101/134551
rs62143198	VAPA	9218	39.886	10.1101/134551
rs62143197	AKR1B1	231	39.854	10.1101/134551
rs79061565	ACP5	54	39.796	10.1101/134551
rs1408416	ROR1	4919	39.745	10.1101/134551
rs62143197	APAF1	317	39.678	10.1101/134551
rs139695917	GXYLT1	283464	39.602	10.1101/134551
rs9296004	DEFB119	245932	39.602	10.1101/134551
rs2956633	SURF1	6834	39.585	10.1101/134551
rs61751507	MMP8	4317	39.495	10.1101/134551
rs10745925	GXYLT1	283464	39.481	10.1101/134551
rs635634	ICAM5	7087	39.469	10.1101/134551
rs62143198	HDHD2	84064	39.432	10.1101/134551
rs3917532	NHLRC3	387921	39.357	10.1101/134551
rs4632248	LYZL2	119180	39.31	10.1101/134551
rs1065853	CKAP2	26586	38.959	10.1101/134551
rs4499344	PDCD5	9141	38.921	10.1101/134551
rs62143197	ARRB1	408	38.886	10.1101/134551
rs12599777	NAGPA	51172	38.854	10.1101/134551
rs62143197	ARFIP1	27236	38.824	10.1101/134551
rs61022741	CHST11	50515	38.745	10.1101/134551
rs10490666	VIT	5212	38.721	10.1101/134551
rs1462977	HRSP12		38.658	10.1101/134551
rs10747049	DPP7	29952	38.638	10.1101/134551
rs11994699	TNC	3371	38.62	10.1101/134551
rs704	RNF8	9025	38.553	10.1101/134551
rs5167	AIMP1	9255	38.538	10.1101/134551
rs200357845	GPLD1	2822	38.432	10.1101/134551
rs62143197	GNPNAT1	64841	38.319	10.1101/134551
rs1303	PSD	5662	38.31	10.1101/134551
rs7606102	NAGK	55577	38.222	10.1101/134551
rs7412	KMT2C	58508	38.161	10.1101/134551
rs62143197	WFDC3	140686	38.131	10.1101/134551
rs4632248	ISG15	9636	38.119	10.1101/134551
rs939715	EVA1C	59271	38.092	10.1101/134551
rs11781016	RMDN1	51115	38.081	10.1101/134551
rs34907608	COCH	1690	38	10.1101/134551
rs1065853	PCDHB10	56126	37.854	10.1101/134551
rs704	MPP6	51678	37.824	10.1101/134551
rs62143197	MAPKAPK2	9261	37.796	10.1101/134551
rs3917539	SRXN1	140809	37.77	10.1101/134551
rs62143194	RFK	55312	37.77	10.1101/134551
rs4683701	ECE1	1889	37.678	10.1101/134551
rs3820897	COLEC10	10584	37.658	10.1101/134551
rs1534881	CSF2RB	1439	37.585	10.1101/134551
rs62358361	CREBBP	1387	37.553	10.1101/134551
rs2286241	B4GALT2	8704	37.523	10.1101/134551
rs75228657	HDHD2	84064	37.328	10.1101/134551
rs4241818	LAMA4	3910	37.319	10.1101/134551
rs1718849	IGFBP7	3490	37.284	10.1101/134551
rs704	NPIPB3	23117	37.131	10.1101/134551
rs73165060	SULT1E1	6783	37.032	10.1101/134551
rs704	EFNB3	1949	36.921	10.1101/134551
rs17580	HPGD	3248	36.886	10.1101/134551
rs62143197	GLRX2	51022	36.824	10.1101/134551
rs704	STX1A	6804	36.678	10.1101/134551
rs9296009	RACGAP1	29127	36.538	10.1101/134551
rs28929474	NCF2	4688	36.495	10.1101/134551
rs2277413	NUDT16L1	84309	36.469	10.1101/134551
rs62143198	UBQLN4	56893	36.268	10.1101/134551
rs3864106	MINPP1	9562	36.167	10.1101/134551
rs9952639	CHST9	83539	36.143	10.1101/134551
rs7153315	TNFRSF11A	8792	36.06	10.1101/134551
rs7439493	CFI	3426	36.051	10.1101/134551
rs62143198	USP8	9101	36.051	10.1101/134551
rs62143197	EIF4B	1975	35.959	10.1101/134551
rs2304456	A1CF	29974	35.796	10.1101/134551
rs140185670	SIGLEC7	27036	35.77	10.1101/134551
rs7412	APBB2	323	35.721	10.1101/134551
rs10424405	ITGA1,ITGB1	3672,3688	35.658	10.1101/134551
rs704	LRRK2	120892	35.585	10.1101/134551
rs62143197	BCL10	8915	35.523	10.1101/134551
rs10418046	NMES1		35.509	10.1101/134551
rs62143197	DNAJC17	55192	35.432	10.1101/134551
rs28929474	PIM1	5292	35.367	10.1101/134551
rs4632248	CBFB	865	35.347	10.1101/134551
rs62143206	NR3C2	4306	35.328	10.1101/134551
rs34963977	NCAM2	4685	35.301	10.1101/134551
rs12973524	FCER2	2208	35.237	10.1101/134551
rs62143197	ICOSLG	23308	35.201	10.1101/134551
rs11022114	DKK3	27122	35.187	10.1101/134551
rs62143197	ASAH1	427	35	10.1101/134551
rs16989763	PI3	5266	34.796	10.1101/134551
rs56062839	ART3	419	34.585	10.1101/134551
rs967645	RAB35	11021	34.538	10.1101/134551
rs143361672	NRXN1	9378	34.495	10.1101/134551
rs4795433	CDH3	1001	34.42	10.1101/134551
rs75766	RTN4R	65078	34.319	10.1101/134551
rs62143198	RUNX3	864	34.229	10.1101/134551
rs62143198	VTI1B	10490	34.222	10.1101/134551
rs62069681	NPTX1	4884	34.119	10.1101/134551
rs1065853	C14orf93	60686	33.886	10.1101/134551
rs10424405	SAP18	10284	33.824	10.1101/134551
rs10424405	MCTS1	28985	33.796	10.1101/134551
rs4584622	SMIM9	100132963	33.699	10.1101/134551
rs10972076	KIAA1161		33.658	10.1101/134551
rs3745540	KLK12	43849	33.602	10.1101/134551
rs429358	SULT1E1	6783	33.538	10.1101/134551
rs1863622	NGFR	4804	33.523	10.1101/134551
rs3762056	F10	2159	33.523	10.1101/134551
rs704	PCDHB4	56131	33.509	10.1101/134551
rs1738434	PRSS3	5646	33.444	10.1101/134551
rs62143206	ARHGDIA	396	33.432	10.1101/134551
rs704	CAMK1D	57118	33.409	10.1101/134551
rs3132451	CD96	10225	33.367	10.1101/134551
rs2228467	CCL17	6361	33.161	10.1101/134551
rs4129858	LAMA1,LAMB1,LAMC1	3915,284217,3912	33.149	10.1101/134551
rs62143197	DTX3L	151636	33.143	10.1101/134551
rs438811	MENT		33.092	10.1101/134551
rs6480771	DUSP13	51207	33.081	10.1101/134551
rs2731673	TMEM87B	84910	33.06	10.1101/134551
rs704	PTPRH	5794	32.854	10.1101/134551
rs71640034	PRKCSH	5589	32.796	10.1101/134551
rs189821701	PLG	5340	32.77	10.1101/134551
rs11941335	SPINK2	6691	32.658	10.1101/134551
rs10624573	IL7R	3575	32.638	10.1101/134551
rs4454354	OBP2B	29989	32.569	10.1101/134551
rs635634	MET	4233	32.495	10.1101/134551
rs3810801	PRSS22	64063	32.432	10.1101/134551
rs2070600	AGER	177	32.409	10.1101/134551
rs15881	GFRA2	2675	32.387	10.1101/134551
rs2232613	PRDM1	639	32.367	10.1101/134551
rs41292808	THSD1	55901	32.26	10.1101/134551
rs6003387	FOXJ2	55810	32.252	10.1101/134551
rs704	KLRC3	3823	32.18	10.1101/134551
rs704	IL5	3567	32.161	10.1101/134551
rs4921484	IL12B,IL23A	51561,3593	32.143	10.1101/134551
rs10424405	CDC42BPA	8476	32.051	10.1101/134551
rs8176693	CD36	948	32.022	10.1101/134551
rs704	CLEC2D	29121	31.921	10.1101/134551
rs7789303	EPHB6	2051	31.824	10.1101/134551
rs4145487	EXOSC3	51010	31.745	10.1101/134551
rs148410779	PTGR1	22949	31.678	10.1101/134551
rs4241818	CDH15	1013	31.602	10.1101/134551
rs62143197	LONP1	9361	31.585	10.1101/134551
rs704	PSMA1	5682	31.585	10.1101/134551
rs35162472	DEFB112	245915	31.553	10.1101/134551
rs62143197	N6AMT1	29104	31.495	10.1101/134551
rs28577986	TMIE	259236	31.469	10.1101/134551
rs62143198	CILP	8483	31.456	10.1101/134551
rs62143197	TTL	150465	31.432	10.1101/134551
rs41398344	CCL22	6367	31.387	10.1101/134551
rs10418046	PDCL2	132954	31.328	10.1101/134551
